Station_Ro,CTD_Station,Latitude,Longitude
G1,7003,-32.49433333,188.0071667
G2,7004,-32.49666667,189.0046667
G3,7005,-32.49366667,190.0048333
G4,7006,-32.499,190.9976667
G5,7007,-32.495,191.998
G6,7008,-32.49716667,192.9978333
G8,7010,-32.49566667,195.0076667
G9,7011,-32.50433333,196.0103333
G10,7012,-32.50633333,197.0065
G11,7013,-32.509,197.991
G12,7014,-32.49783333,199.0071667
G13,7015,-32.50466667,199.9855
G14,7016,-32.46366667,200.9806667
G15,7017,-32.495,202.0055
G16,7018,-32.494,202.9911667
G17,7019,-32.50383333,203.9893333
G18,7020,-32.4995,205.0006667
G19,7021,-32.50133333,206.0018333
G20,7022,-32.494,206.9943333
G21,7023,-32.4885,208.0005
G22,7024,-32.49566667,208.9993333
G23,7025,-32.491,209.9933333